Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
ArcTest,Firefox 62.0,,2019-01-10 12:17:11,2019-01-10 12:18:06,55.091s,PASSED
,,,,,,
Test Cases/LoginArc,Firefox 62.0,,2019-01-10 12:17:12,2019-01-10 12:18:06,54.263s,PASSED
openBrowser,Firefox 62.0,,2019-01-10 12:17:12,2019-01-10 12:17:22,10.172s,PASSED
navigateToUrl,Firefox 62.0,,2019-01-10 12:17:22,2019-01-10 12:17:34,11.755s,PASSED
delay,Firefox 62.0,,2019-01-10 12:17:34,2019-01-10 12:17:44,10.030s,PASSED
click,Firefox 62.0,,2019-01-10 12:17:44,2019-01-10 12:17:44,0.403s,PASSED
setText,Firefox 62.0,,2019-01-10 12:17:44,2019-01-10 12:17:44,0.227s,PASSED
setEncryptedText,Firefox 62.0,,2019-01-10 12:17:44,2019-01-10 12:17:45,0.259s,PASSED
click,Firefox 62.0,,2019-01-10 12:17:45,2019-01-10 12:17:45,0.326s,PASSED
click,Firefox 62.0,,2019-01-10 12:17:45,2019-01-10 12:17:50,5.297s,PASSED
click,Firefox 62.0,,2019-01-10 12:17:50,2019-01-10 12:18:05,15.167s,PASSED
closeBrowser,Firefox 62.0,,2019-01-10 12:18:05,2019-01-10 12:18:06,0.294s,PASSED
